Episode,Reward,Steps,Epsilon
259,70.0,26,0.272
260,92.0,9,0.27
261,93.0,8,0.269
262,92.0,9,0.268
263,-360.0,300,0.266
264,95.0,6,0.265
265,94.0,7,0.264
266,93.0,8,0.262
267,94.0,7,0.261
268,86.0,15,0.26
269,91.0,10,0.258
270,92.0,9,0.257
271,95.0,6,0.256
272,93.0,8,0.255
273,93.0,8,0.253
274,93.0,8,0.252
275,94.0,7,0.251
276,-355.0,300,0.249
277,89.0,12,0.248
278,57.0,39,0.247
279,82.0,19,0.246
280,89.0,12,0.245
281,92.0,9,0.243
282,-177.0,243,0.242
283,68.0,28,0.241
284,94.0,7,0.24
285,68.0,28,0.238
286,48.0,43,0.237
287,75.0,26,0.236
288,93.0,8,0.235
289,92.0,9,0.234
290,88.0,13,0.233
291,95.0,6,0.231
292,93.0,8,0.23
293,87.0,14,0.229
294,93.0,8,0.228
295,94.0,7,0.227
296,70.0,26,0.226
297,95.0,6,0.225
298,65.0,31,0.223
299,95.0,6,0.222
300,70.0,26,0.221
301,84.0,17,0.22
302,-5.0,91,0.219
303,93.0,8,0.218
304,58.0,38,0.217
305,94.0,7,0.216
306,61.0,35,0.215
307,12.0,74,0.214
308,86.0,15,0.212
309,93.0,8,0.211
310,94.0,7,0.21
311,93.0,8,0.209
312,91.0,10,0.208
313,93.0,8,0.207
314,94.0,7,0.206
315,93.0,8,0.205
316,-355.0,300,0.204
317,78.0,23,0.203
318,95.0,6,0.202
319,94.0,7,0.201
320,95.0,6,0.2
321,94.0,7,0.199
322,-4.0,85,0.198
323,94.0,7,0.197
324,61.0,35,0.196
325,12.0,74,0.195
326,80.0,21,0.194
327,82.0,19,0.193
328,64.0,32,0.192
329,60.0,36,0.191
330,54.0,42,0.19
331,95.0,6,0.189
332,94.0,7,0.188
333,91.0,10,0.187
334,63.0,33,0.187
335,61.0,35,0.186
336,88.0,13,0.185
337,91.0,10,0.184
338,86.0,15,0.183
339,91.0,10,0.182
340,94.0,7,0.181
341,80.0,21,0.18
342,28.0,63,0.179
343,95.0,6,0.178
344,87.0,14,0.177
345,79.0,22,0.177
346,60.0,36,0.176
347,9.0,77,0.175
348,-390.0,300,0.174
349,95.0,6,0.173
350,76.0,25,0.172
351,85.0,16,0.171
352,84.0,17,0.17
353,-385.0,300,0.17
354,95.0,6,0.169
355,92.0,9,0.168
356,95.0,6,0.167
357,92.0,9,0.166
358,84.0,17,0.165
359,91.0,10,0.165
360,95.0,6,0.164
361,-380.0,300,0.163
362,95.0,6,0.162
363,7.0,84,0.161
364,84.0,17,0.16
365,79.0,22,0.16
366,79.0,22,0.159
367,88.0,13,0.158
368,92.0,9,0.157
369,85.0,16,0.157
370,90.0,11,0.156
371,91.0,10,0.155
372,62.0,34,0.154
373,94.0,7,0.153
374,94.0,7,0.153
375,95.0,6,0.152
376,-365.0,300,0.151
377,92.0,9,0.15
378,76.0,25,0.15
379,92.0,9,0.149
380,-370.0,300,0.148
381,95.0,6,0.147
382,95.0,6,0.147
383,87.0,14,0.146
384,-385.0,300,0.145
385,94.0,7,0.144
386,46.0,50,0.144
387,-365.0,300,0.143
388,80.0,21,0.142
389,86.0,15,0.142
390,72.0,29,0.141
391,76.0,25,0.14
392,76.0,25,0.139
393,80.0,21,0.139
394,94.0,7,0.138
395,61.0,40,0.137
396,63.0,33,0.137
397,68.0,33,0.136
398,85.0,16,0.135
399,64.0,32,0.135
400,59.0,37,0.134
401,85.0,16,0.133
402,88.0,13,0.133
403,83.0,18,0.132
404,86.0,15,0.131
405,-370.0,300,0.131
406,94.0,7,0.13
407,92.0,9,0.129
408,65.0,31,0.129
409,73.0,28,0.128
410,88.0,13,0.127
411,59.0,42,0.127
412,90.0,11,0.126
413,86.0,15,0.126
414,63.0,33,0.125
415,89.0,12,0.124
416,64.0,32,0.124
417,78.0,23,0.123
418,94.0,7,0.122
419,87.0,14,0.122
420,14.0,72,0.121
421,60.0,36,0.121
422,88.0,13,0.12
423,68.0,28,0.119
424,59.0,37,0.119
425,2.0,89,0.118
426,61.0,35,0.118
427,42.0,54,0.117
428,89.0,12,0.116
429,38.0,53,0.116
430,88.0,13,0.115
431,94.0,7,0.115
432,88.0,13,0.114
433,-365.0,300,0.114
434,88.0,13,0.113
435,85.0,16,0.112
436,88.0,13,0.112
437,88.0,13,0.111
438,94.0,7,0.111
439,69.0,32,0.11
440,94.0,7,0.11
441,95.0,6,0.109
442,92.0,9,0.109
443,92.0,9,0.108
444,88.0,13,0.107
445,86.0,15,0.107
446,73.0,28,0.106
447,94.0,7,0.106
448,94.0,7,0.105
449,64.0,32,0.105
450,83.0,18,0.104
451,94.0,7,0.104
452,-345.0,300,0.103
453,-340.0,300,0.103
454,81.0,20,0.102
455,88.0,13,0.102
456,88.0,13,0.101
457,86.0,15,0.101
458,93.0,8,0.1
459,91.0,10,0.1
460,94.0,7,0.1
461,89.0,12,0.1
462,-365.0,300,0.1
463,94.0,7,0.1
464,93.0,8,0.1
465,86.0,15,0.1
466,89.0,12,0.1
467,86.0,15,0.1
468,81.0,20,0.1
469,-350.0,300,0.1
470,38.0,53,0.1
471,70.0,31,0.1
472,85.0,16,0.1
473,94.0,7,0.1
474,92.0,9,0.1
475,88.0,13,0.1
476,45.0,46,0.1
477,88.0,13,0.1
478,88.0,13,0.1
