Episode,Reward,Epsilon
318,23.0,0.202
319,12.0,0.201
320,30.0,0.2
321,17.0,0.199
322,21.0,0.198
323,23.0,0.197
324,13.0,0.196
325,17.0,0.195
326,14.0,0.194
327,15.0,0.193
328,19.0,0.192
329,21.0,0.191
330,18.0,0.19
331,21.0,0.189
332,18.0,0.188
333,21.0,0.187
334,33.0,0.187
335,27.0,0.186
336,27.0,0.185
337,25.0,0.184
338,13.0,0.183
339,18.0,0.182
340,19.0,0.181
341,12.0,0.18
342,18.0,0.179
343,19.0,0.178
344,14.0,0.177
345,19.0,0.177
346,25.0,0.176
347,14.0,0.175
348,23.0,0.174
349,17.0,0.173
350,18.0,0.172
351,17.0,0.171
352,21.0,0.17
353,22.0,0.17
354,22.0,0.169
355,24.0,0.168
356,14.0,0.167
357,17.0,0.166
358,10.0,0.165
359,18.0,0.165
360,26.0,0.164
361,26.0,0.163
362,25.0,0.162
363,17.0,0.161
364,11.0,0.16
365,18.0,0.16
366,15.0,0.159
367,20.0,0.158
368,11.0,0.157
369,10.0,0.157
370,4.0,0.156
371,19.0,0.155
372,21.0,0.154
373,13.0,0.153
374,26.0,0.153
375,13.0,0.152
376,25.0,0.151
377,22.0,0.15
378,19.0,0.15
379,24.0,0.149
380,17.0,0.148
381,17.0,0.147
382,14.0,0.147
383,18.0,0.146
384,8.0,0.145
385,13.0,0.144
386,7.0,0.144
387,19.0,0.143
388,16.0,0.142
389,14.0,0.142
390,13.0,0.141
391,6.0,0.14
392,17.0,0.139
393,20.0,0.139
394,21.0,0.138
395,15.0,0.137
396,11.0,0.137
397,11.0,0.136
398,14.0,0.135
399,11.0,0.135
400,26.0,0.134
401,24.0,0.133
402,16.0,0.133
403,18.0,0.132
404,24.0,0.131
405,26.0,0.131
406,13.0,0.13
407,28.0,0.129
408,13.0,0.129
409,20.0,0.128
410,10.0,0.127
411,6.0,0.127
412,19.0,0.126
413,10.0,0.126
414,23.0,0.125
415,17.0,0.124
416,24.0,0.124
417,13.0,0.123
418,11.0,0.122
419,19.0,0.122
420,21.0,0.121
421,20.0,0.121
422,25.0,0.12
423,15.0,0.119
424,19.0,0.119
425,15.0,0.118
426,15.0,0.118
427,26.0,0.117
428,18.0,0.116
429,18.0,0.116
430,23.0,0.115
431,26.0,0.115
432,29.0,0.114
433,33.0,0.114
434,10.0,0.113
435,18.0,0.112
436,22.0,0.112
437,20.0,0.111
438,11.0,0.111
439,12.0,0.11
440,12.0,0.11
441,16.0,0.109
442,18.0,0.109
443,11.0,0.108
444,13.0,0.107
445,21.0,0.107
446,25.0,0.106
447,30.0,0.106
448,29.0,0.105
449,12.0,0.105
450,14.0,0.104
451,12.0,0.104
452,9.0,0.103
453,15.0,0.103
454,22.0,0.102
455,19.0,0.102
456,21.0,0.101
457,21.0,0.101
458,14.0,0.1
459,17.0,0.1
460,17.0,0.1
461,9.0,0.1
462,17.0,0.1
463,7.0,0.1
464,12.0,0.1
465,16.0,0.1
466,26.0,0.1
467,19.0,0.1
468,24.0,0.1
469,14.0,0.1
470,11.0,0.1
471,14.0,0.1
472,23.0,0.1
473,21.0,0.1
474,21.0,0.1
475,15.0,0.1
476,13.0,0.1
477,28.0,0.1
478,15.0,0.1
479,22.0,0.1
480,15.0,0.1
481,12.0,0.1
482,14.0,0.1
483,14.0,0.1
484,15.0,0.1
485,20.0,0.1
486,10.0,0.1
487,23.0,0.1
488,17.0,0.1
489,20.0,0.1
490,23.0,0.1
491,18.0,0.1
492,13.0,0.1
493,17.0,0.1
494,18.0,0.1
495,16.0,0.1
496,19.0,0.1
497,19.0,0.1
498,21.0,0.1
499,24.0,0.1
500,16.0,0.1
501,22.0,0.1
502,5.0,0.1
503,28.0,0.1
504,10.0,0.1
505,22.0,0.1
506,19.0,0.1
507,13.0,0.1
